"","Pokemon","category","items"
"23","Sylveon","Ambience","Straw table, Log table, Straw stool, Log chair, Straw bed, Wreath, Vine wall decoration, Berry wall decoration, Campfire, Wall-Mounted Flower, Chansey plant, Garden flower, Perch, Mushroom streetlight, Mushroom lamp"
"24","Sylveon","Appearance","Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"25","Sylveon","Material","Simple cushion, Fluffy Chair, Antique Chair, Gaming chair, Antique sofa, Pop art sofa, Poké Ball Sofa, Resort hammock, Antique bed, Eevee doll, Pikachu doll, Clefairy doll, Arcanine doll, Dragonite doll, Ditto doll, Substitute doll, Sandbags, Ditto Flag"
"26","Sylveon","Other","Alarm Clock, CD player, Big drum, Speaker, Clear Bell, Tidal Bell, Antique clock, Bell, Music mat (low do)), Music mat (Re)), Music mat (Mi)), Music mat (Fa)), Music mat (Sol)), Music mat (La)), Music mat (Ti)), Music mat (High do))"
"27","Sylveon","Shape","Poké Ball Chest, Log table, Pop art table, Poké Ball table, Log chair, Stylish stool, Industrial chair, Poké Ball Sofa, Pop art bed, Poké Ball bed, Wooden plate, Plate, Party platter, Nugget, Small stage, Tires, Poké Ball light, Poké Ball Lamp, Model planet, Ground Light, Mirror ball"
"28","Umbreon","Appearance","Gaming fridge, Luxury chair, Gaming chair, Gaming bed, Gaming PC, Nugget, Small stage, Raichu sign, Mushroom streetlight, Town Streetlight, Mushroom lamp, Plain lamp, Poké Ball light, Berry table lamp, Cute lamp, Luxury lamp, Garden light, Lantern, Gaming light, Resort light, Pop art lamp, Berry hanging lamp, Antique chandelier, Spotlight, Mirror ball, Luxury table, Elegant Chair, Luxury chair, Luxury sofa, Guest-room bed, Luxury bed, Luxury dresser, Nugget, Luxury lamp, Antique chandelier, Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"29","Umbreon","Other","Large mirror, Antique dresser, Luxury dresser, Cute dresser, Small vase, Large-Leafed Tree, Decorative vase, Extravagant flowers, Tall potted plant, Flat Shrub, Twisted potted plant, Photo Frame, Wall-Mounted Photo Frame, Corkboard, Antique clock, Party Wall Decoration, Vine wall decoration, Berry wall decoration, Wall-Mounted Flower, Chansey plant, Garden ornament, Garden flower, Weathervane, Painting (landscape)), Painting (portrait)), Painting (still life)), Menu board, Sign, Standing Signboard, Information Board, Raichu sign, Frame"
"30","Vaporeon","Ambience","Resort table, Waterproof seat, Deck chair, Beach chair, Sink, Modern sink, Bath Set, Shower, Bathtub, Bouncy blue bathtub, Hot-spring spout, Water basin, Canoe, Inflatable boat, Horsea fountain, Fishing rod, Fire hydrant, Sprinkler, Mini floodgate"
"31","Vaporeon","Appearance","Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser, Garden table, Garden chair, Garden bench, Small vase, Wall-Mounted Flower, Chansey plant, Garden flower, Garden light"
"32","Vaporeon","Other","Pokémon Center counter, Kitchen table, Waterproof seat, Sink, Washing machine, Modern sink, Bath Set, Cleaning supplies, Shower, Bathtub, Bouncy blue bathtub, Large mirror, Antique dresser, Luxury dresser, Cute dresser, Small vase, Large-Leafed Tree, Decorative vase, Extravagant flowers, Tall potted plant, Flat Shrub, Twisted potted plant, Photo Frame, Wall-Mounted Photo Frame, Corkboard, Antique clock, Party Wall Decoration, Vine wall decoration, Berry wall decoration, Wall-Mounted Flower, Chansey plant, Garden ornament, Garden flower, Weathervane, Painting (landscape)), Painting (portrait)), Painting (still life)), Menu board, Sign, Standing Signboard, Information Board, Raichu sign, Frame"
"33","Vaporeon","Related Pages","Pokédex, All Items, Cooking Recipes, Guides, Events, Habitat List, Habitat Materials, Construction & Blocks, Crafting Recipes, Exploration Map, Multiplayer Guide, Fashion, Wishlist"
